Model,RMSE,MAE,MAPE
"ARIMA(1,0,1)",0.7745275743702167,0.43811347073636464,254743746037.0295
MA-7 (Baseline),0.7759128922285867,0.32653061224489793,127551020417.7296
Prophet,0.7815611281474548,0.4125223730254374,221938280997.77808
Exp Smoothing,0.7919187587594145,0.4040615045604991,208391582488.9017
