model,rmse,mae,mape
MA-7,0.7759128922285867,0.32653061224489793,127551020417.7296
Historical Mean,0.788250319481078,0.5053850296176629,330794676521.3151
MA-28,0.7929858325419471,0.5229591836734694,350765306130.00635
Naive,0.8017837257372732,0.21428571428571427,10.714285713482143
Seasonal Naive,0.8864052604279183,0.35714285714285715,142857142867.85715
