day,start_inventory,orders_received,demand,forecast,fulfilled,stockout,order_placed,end_inventory,holding_cost,stockout_cost,total_cost,service_level
66,3,0,1,0.2413785063062749,1,0,0,2,1.0,0.0,1.0,1.0
67,2,0,0,0.24265722233759848,0,0,0,2,1.0,0.0,1.0,1.0
68,2,0,0,0.24392329792154205,0,0,0,2,1.0,0.0,1.0,1.0
69,2,0,0,0.2451768580122831,0,0,0,2,1.0,0.0,1.0,1.0
70,2,0,0,0.2464180263287939,0,0,0,2,1.0,0.0,1.0,1.0
71,2,0,0,0.2476469253670519,0,0,0,2,1.0,0.0,1.0,1.0
72,2,0,0,0.24886367641212925,0,0,0,2,1.0,0.0,1.0,1.0
73,2,0,0,0.250068399550163,0,0,0,2,1.0,0.0,1.0,1.0
74,2,0,0,0.25126121368020693,0,0,0,2,1.0,0.0,1.0,1.0
75,2,0,0,0.25244223652596587,0,0,0,2,1.0,0.0,1.0,1.0
76,2,0,0,0.2536115846474149,0,0,0,2,1.0,0.0,1.0,1.0
77,2,0,0,0.25476937345230255,0,0,0,2,1.0,0.0,1.0,1.0
78,2,0,0,0.25591571720754125,0,0,0,2,1.0,0.0,1.0,1.0
79,2,0,0,0.2570507290504847,0,0,0,2,1.0,0.0,1.0,1.0
80,2,0,0,0.25817452100009375,0,0,0,2,1.0,0.0,1.0,1.0
81,2,0,0,0.2592872039679921,0,0,0,2,1.0,0.0,1.0,1.0
82,2,0,0,0.2603888877694126,0,0,0,2,1.0,0.0,1.0,1.0
83,2,0,0,0.2614796811340354,0,0,0,2,1.0,0.0,1.0,1.0
84,2,0,4,0.26255969171671895,2,2,5,0,0.0,10.0,10.0,0.5
85,0,5,0,0.2636290261081248,0,0,0,5,2.5,0.0,2.5,1.0
86,5,0,0,0.26468778984523744,0,0,0,5,2.5,0.0,2.5,1.0
87,5,0,1,0.26573608742178045,1,0,0,4,2.0,0.0,2.0,1.0
88,4,0,0,0.26677402229852903,0,0,0,4,2.0,0.0,2.0,1.0
89,4,0,0,0.2678016969135212,0,0,0,4,2.0,0.0,2.0,1.0
